Base,Lat,Lon,Nom_du_jour,Jour_de_la_semaine,Heure,DayType,Nom_du_mois,DaySituation
B02512,40.7294,-73.9812,Wednesday,3,0,NormalDay,September,Night
B02512,40.7313,-73.9747,Wednesday,3,0,NormalDay,September,Night
B02512,40.7341,-74.0085,Wednesday,3,0,NormalDay,September,Night
B02512,40.7352,-73.9858,Wednesday,3,0,NormalDay,September,Night
B02512,40.7359,-74.0733,Wednesday,3,0,NormalDay,September,Night
B02512,40.7363,-73.8493,Wednesday,3,0,NormalDay,September,Night
B02512,40.7383,-73.9856,Wednesday,3,0,NormalDay,September,Night
B02512,40.7395,-74.0017,Wednesday,3,0,NormalDay,September,Night
B02512,40.7399,-73.993,Wednesday,3,0,NormalDay,September,Night
B02512,40.7409,-74.0078,Wednesday,3,0,NormalDay,September,Night
B02512,40.7415,-73.9936,Wednesday,3,0,NormalDay,September,Night
B02512,40.7419,-74.0039,Wednesday,3,0,NormalDay,September,Night
B02512,40.7419,-74.0038,Wednesday,3,0,NormalDay,September,Night
B02512,40.7442,-73.9878,Wednesday,3,0,NormalDay,September,Night
B02512,40.7443,-73.9878,Wednesday,3,0,NormalDay,September,Night
B02512,40.7444,-73.986,Wednesday,3,0,NormalDay,September,Night
B02512,40.7448,-73.9888,Wednesday,3,0,NormalDay,September,Night
B02512,40.749,-73.9887,Wednesday,3,0,NormalDay,September,Night
B02512,40.7524,-73.9789,Wednesday,3,0,NormalDay,September,Night
B02512,40.7543,-73.9984,Wednesday,3,0,NormalDay,September,Night
B02512,40.7547,-73.9757,Wednesday,3,0,NormalDay,September,Night
B02512,40.7558,-73.9876,Wednesday,3,0,NormalDay,September,Night
B02512,40.7593,-73.9833,Wednesday,3,0,NormalDay,September,Night
B02512,40.7594,-73.9871,Wednesday,3,0,NormalDay,September,Night
B02512,40.7607,-73.9819,Wednesday,3,0,NormalDay,September,Night
B02512,40.7607,-73.971,Wednesday,3,0,NormalDay,September,Night
B02512,40.7628,-73.9787,Wednesday,3,0,NormalDay,September,Night
B02512,40.763,-73.9833,Wednesday,3,0,NormalDay,September,Night
B02512,40.7631,-73.9821,Wednesday,3,0,NormalDay,September,Night
B02512,40.7644,-73.9958,Wednesday,3,0,NormalDay,September,Night
B02512,40.768,-74.2456,Wednesday,3,0,NormalDay,September,Night
B02512,40.7763,-73.9833,Wednesday,3,0,NormalDay,September,Night
B02512,40.7768,-73.9514,Wednesday,3,0,NormalDay,September,Night
B02512,40.7776,-73.9512,Wednesday,3,0,NormalDay,September,Night
B02512,40.8074,-73.9551,Wednesday,3,0,NormalDay,September,Night
B02512,40.6378,-73.9732,Thursday,4,0,NormalDay,September,Night
B02512,40.6789,-74.0179,Thursday,4,0,NormalDay,September,Night
B02512,40.6914,-73.9845,Thursday,4,0,NormalDay,September,Night
B02512,40.6924,-73.9898,Thursday,4,0,NormalDay,September,Night
B02512,40.6947,-74.1777,Thursday,4,0,NormalDay,September,Night
B02512,40.7069,-73.9513,Thursday,4,0,NormalDay,September,Night
B02512,40.7075,-73.9428,Thursday,4,0,NormalDay,September,Night
B02512,40.7141,-73.9554,Thursday,4,0,NormalDay,September,Night
B02512,40.7142,-74.0145,Thursday,4,0,NormalDay,September,Night
B02512,40.7172,-73.999,Thursday,4,0,NormalDay,September,Night
B02512,40.7195,-74.0413,Thursday,4,0,NormalDay,September,Night
B02512,40.7219,-73.9874,Thursday,4,0,NormalDay,September,Night
